id;nazev_strany;zkratka_strany
1;BEZPEČNOST,ODPOVĚDNOST,SOLID.;BOS
2;Str. konz. pravice-Řád národa;SKP - ŘN
3;Koalice DSSS, ČiKR;DSSS+ČiKR
4;Koalice ČSSD, Zelení;ČSSD + Zelení
5;DSZ - ZA PRÁVA ZVÍŘAT;DSZ-ZA PR.ZVÍŘ.
6;Trikolóra, Soukromníci, NEZ;Trikol+Souk+NEZ
7;STAROSTOVÉ A NEZÁVISLÍ;STAN
8;Trikolóra a Strana soukr. ČR;Trikol+Soukrom
9;KDU-ČSL, ADS A NESTRANÍCI;KDU+ADS+Nestr.
10;Str.pro otevřenou společnost;SOS
11;ODS a TOP 09;ODS+TOP 09
12;KDU-ČSL;KDU-ČSL
13;Strana zelených;Zelení
14;Morav. a Slez. pirátská strana;MS Piráti
15;VÝCHODOČEŠI;VČ
16;Svoboda a př. demokracie (SPD);SPD
17;Koalice pro Pardubický kraj;KDU+SNKED+Nestr
18;Národní demokracie;ND
19;Česká pirátská strana;Piráti
20;Starostové pro Liberecký kraj;SLK
21;PIRÁTI a STAROSTOVÉ;PIRÁTI a STAN
22;Moravané;Moravané
23;VIZE - národní socialisté;VIZENS
24;Koalice DSSS, ČiKR;DSSS+ČiKR
25;Pro TOP Vysočinu;TOP+KAN+Monarch
26;Koalice VOK, KVC;KVC+VOK
27;Starostové pro Vysočinu;STAN+SNK ED
28;VOK - Volba pro kraj;VOK
29;Koalice ODS a TOP 09;ODS+TOP 09
30;3PK-Pro prosperující Pard. kr.;ČSSD+SproK
31;TRIKOLÓRA - SOUKROMNÍCI;Trikol+Soukrom
32;Koalice KDU-ČSL, VPM, Nestran.;KDU+VPM+Nestr.
33;Občanská demokratická strana;ODS
34;Zdraví Sport Prosperita;PRO Zdraví
35;DSSS - Čistý kraj;DSSS+ČiKR
36;DSSS - STOP KRIMIGRANTŮM!;DSSS+ČiKR
37;Jednotní;JEDNOTNÍ
38;Dělnic.str.sociální spravedl.;DSSS
39;SNK1 - Starostové našeho kraje;SNK1
40;SPR-REP.STR.ČECH,MORAVY,SLEZ.;SPR-RSČMS
41;Severočeši.cz;S.cz
42;Koalice UFO, ProMOST;UFO+ProMOST
43;ALIANCE NÁRODNÍCH SIL;ANS
44;Spolu pro Moravu;TOP+Z+LES+MZH+I
45;Česká str.sociálně demokrat.;ČSSD
46;ODS a Starostové pro občany;ODS+STO
47;Koalice TOP 09, HDK, LES;TOP 09+HDK+LES
48;Spojenci - TOP09, Hlas, Zelení;TOP+Hlas+Zelení
49;MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ;HNHRM
50;ANO 2011;ANO
51;Starostové pro jižní Moravu;STAN+SOL
52;ČSSD a Patrioti Olom. kraje;ČSSD a POK
53;TOP 09 a KDU-ČSL - Spol.pro JČ;KDU-ČSL+TOP 09
54;Koalice STAN, Zelení, NEZ;STAN+Zelení+NEZ
55;Soukromníci a Svobodní;Soukrom+Svobod
56;Levice;Levice
57;Koalice ODA, Hlas, SNK ED;ODA+Hlas+SNK ED
58;STAN,Zelení,PRO PLZEŇ;STAN+Z+PROPLZEŇ
59;Společně pro Liberecký kraj;KDU-ČSL+TOP 09
60;DSSS - ČiKR;DSSS+ČiKR
61;Koalice ODS+KDU-ČSL;KDU-ČSL+ODS
62;Koalice STAN, TOP 09;TOP+STAN
63;Komunistická str.Čech a Moravy;KSČM
64;Spojenci pro Olomoucký kraj;KDU+Z+TOP+ProOl
65;Strana soukromníků ČR;Soukromníci
66;Soukromníci a ODA;Soukromníci+ODA
67;Volte Pr.Blok www.cibulka.net;PB
68;Koruna Česká (monarch.strana);Monarchiste.cz
69;Občanská demokratická aliance;ODA
70;Trikolóra hnutí občanů;Trikolóra
71;Svobodní;Svobodní
72;Změna 2020;Z 2020
73;Koalice ODS, STAN, VČ;ODS+STAN+VČ
74;ODS s podp.TOP 09 a nez.star.;ODS+TOP 09
75;ZaRegion;ZaRegion
76;ODS s podpor. Svobodných a SOM;ODS+Svobod.+SOM
77;JsmePRO,LES,SNKED,Zelení,TOP09;JP+LES+ED+Z+TOP
78;Změna pro lidi a pro krajinu;Změna+NBPLK
79;Aletrnativa pro nez.kand.2020;ANK 2020
80;JIHOČEŠI 2012;JIH 12
81;Starostové pro kraj;Starostové
82;ROZUMNÍ - Petr Hannig;Rozumní
83;Mladí pro Pardubický kraj;MPK
84;Moravské zemské hnutí;MZH
85;Pro KRAJinu;Zelení+LES
Počet kandidátů, všechny kandidátní listiny;;
